text,drug,effect
Bisphosphonate-related osteonecrosis of the jaw (BRONJ) is reported in up to 18.6% of patients treated with intravenous bisphosphonates and can result in significant morbidity.,Bisphosphonate,osteonecrosis of the jaw
Bisphosphonate-related osteonecrosis of the skull base.,Bisphosphonate,osteonecrosis of the skull base
"A previous study of patients with ""quinine-associated TTP/HUS"" found that ADAMTS13 activities were not abnormal in 12/12 patients.",quinine,TTP/HUS
A retrospective review of TTP patients with quinine-associated thrombotic microangiopathy (TMA) for whom ADAMTS13 was measured before plasma exchange was performed.,quinine,thrombotic microangiopathy
A retrospective review of TTP patients with quinine-associated thrombotic microangiopathy (TMA) for whom ADAMTS13 was measured before plasma exchange was performed.,quinine,TMA
"Thrombocytopenia with or without microangiopathy following quinine is often referred to as quinine ""hypersensitivity."" When schistocytes are present it is frequently termed ""quinine-associated TTP/HUS."" A severe deficiency of the vWF-cleaving protease, ADAMTS13, is associated with idiopathic TTP.",quinine,Thrombocytopenia
"Thrombocytopenia with or without microangiopathy following quinine is often referred to as quinine ""hypersensitivity."" When schistocytes are present it is frequently termed ""quinine-associated TTP/HUS."" A severe deficiency of the vWF-cleaving protease, ADAMTS13, is associated with idiopathic TTP.",quinine,TTP/HUS
"We conclude that while thrombocytopenia and schistocytosis can be seen in quinine-associated TTP/HUS, the pathophysiology seems to be distinct from that seen in most cases of idiopathic TTP (i.e., severely decreased ADAMTS13 with an inhibitor).",quinine,schistocytosis
"We conclude that while thrombocytopenia and schistocytosis can be seen in quinine-associated TTP/HUS, the pathophysiology seems to be distinct from that seen in most cases of idiopathic TTP (i.e., severely decreased ADAMTS13 with an inhibitor).",quinine,thrombocytopenia
"We conclude that while thrombocytopenia and schistocytosis can be seen in quinine-associated TTP/HUS, the pathophysiology seems to be distinct from that seen in most cases of idiopathic TTP (i.e., severely decreased ADAMTS13 with an inhibitor).",quinine,TTP/HUS
We recommend that a TMA in association with quinine be consistently referred to as quinine-associated thrombotic microangiopathy (quinine-TMA) to better distinguish this entity from idiopathic TTP.,quinine,thrombotic microangiopathy
Complications associated with primary and secondary perforation of the bladder following immediate instillations of epirubicin after transurethral resection of superficial urothelial tumours.,epirubicin,primary and secondary perforation of the bladder
MATERIALS AND METHODS: We present two cases of significant morbidity related to primary and secondary perforation of the bladder following two instillations of epirubicin.,epirubicin,primary and secondary perforation of the bladder
Aliskiren-associated acute renal failure with hyperkalemia.,Aliskiren,acute renal failure
We report the first case of acute renal failure with hyperkalemia associated with the recently marketed direct renin inhibitor aliskiren.,aliskiren,acute renal failure
We report the first case of acute renal failure with hyperkalemia associated with the recently marketed direct renin inhibitor aliskiren.,aliskiren,hyperkalemia
A case of acute cardiomyopathy and pericarditis associated with methylphenidate.,methylphenidate,acute cardiomyopathy
A case of acute cardiomyopathy and pericarditis associated with methylphenidate.,methylphenidate,pericarditis
"However, acute cardiomyopathy and pericarditis secondary to methylphenidate use has been rarely reported.",methylphenidate,acute cardiomyopathy
"However, acute cardiomyopathy and pericarditis secondary to methylphenidate use has been rarely reported.",methylphenidate,pericarditis
"We report the case of a 17-year-old male who developed chest pain, elevated cardiac biomarkers, and acute left ventricular dysfunction following a single dose of methylphenidate.",methylphenidate,acute left ventricular dysfunction
"We report the case of a 17-year-old male who developed chest pain, elevated cardiac biomarkers, and acute left ventricular dysfunction following a single dose of methylphenidate.",methylphenidate,chest pain
"We report the case of a 17-year-old male who developed chest pain, elevated cardiac biomarkers, and acute left ventricular dysfunction following a single dose of methylphenidate.",methylphenidate,elevated cardiac biomarkers
"According to the Naranjo et al. adverse-reaction probability scale, enoxaparin was the probable cause of hepatotoxicity in this patient.",enoxaparin,hepatotoxicity
CONCLUSION: A woman receiving enoxaparin every 12 hours developed signs and symptoms of hepatotoxicity after the second dose.,enoxaparin,hepatotoxicity
Probable enoxaparin-induced hepatotoxicity.,enoxaparin,hepatotoxicity
PURPOSE: A case of probable enoxaparin-induced hepatotoxicity is described.,enoxaparin,hepatotoxicity
Posterior reversible encephalopathy syndrome associated with methotrexate neurotoxicity: conventional magnetic resonance and diffusion-weighted imaging findings.,methotrexate,Posterior reversible encephalopathy syndrome
The addition of intrathecal methotrexate to treatment protocols has increased survival rates in children with acute lymphoblastic leukemia but is also associated with varying degrees of neurotoxicity.,methotrexate,neurotoxicity
We describe a 15-year-old female patient diagnosed with acute lymphoblastic leukemia presenting with status epilepticus after receiving intrathecal methotrexate.,methotrexate,acute lymphoblastic leukemia
Cyclosporine-induced pain syndrome in a child undergoing hematopoietic stem cell transplant.,Cyclosporine,pain syndrome
"In this case, CIPS was considered to be probably associated with cyclosporine according to the Naranjo probability scale.",cyclosporine,CIPS
OBJECTIVE: To report a case of calcineurin-induced pain syndrome (CIPS) in a child undergoing his second hematopoietic stem cell transplant (HSCT).,calcineurin,pain syndrome
"With the first cyclosporine dose, the patient complained of leg pain that was most severe during the cyclosporine infusion.",cyclosporine,leg pain
"With the first cyclosporine dose, the patient complained of leg pain that was most severe during the cyclosporine infusion.",cyclosporine,leg pain
Neuroleptic malignant syndrome due to risperidone treatment in a child with Joubert syndrome.,risperidone,Neuroleptic malignant syndrome
This report describes a case of neuroleptic malignant syndrome due to risperidone in a child with Joubert syndrome.,risperidone,neuroleptic malignant syndrome
A case of tuberculosis in a patient on Efalizumab and Etanercept for treatment of refractory palmopustular psoriasis and psoriatic arthritis.,Efalizumab,tuberculosis
A case of tuberculosis in a patient on Efalizumab and Etanercept for treatment of refractory palmopustular psoriasis and psoriatic arthritis.,Etanercept,tuberculosis
The most common complication of warfarin use is adverse bleeding.,warfarin,bleeding
"CASE REPORT: We describe here a case of a 60 year old female that experienced a relapse of symptomatic hyperlactatemia after being switched from stavudine to zidovudine and how the case was managed at the Infectious Diseases Institute, Kampala, Uganda.",stavudine,symptomatic hyperlactatemia
"CASE REPORT: We describe here a case of a 60 year old female that experienced a relapse of symptomatic hyperlactatemia after being switched from stavudine to zidovudine and how the case was managed at the Infectious Diseases Institute, Kampala, Uganda.",zidovudine,symptomatic hyperlactatemia
DISCUSSION: This case shows that switching to zidovudine potentially can lead to a hyperlactatemia relapse.,zidovudine,hyperlactatemia relapse
INTRODUCTION: In resource limited settings patients on antiretroviral treatment who develop stavudine induced hyperlactatemia are often switched to zidovudine on the basis of published studies that demonstrate that this agent can be a safe alternative.,stavudine,hyperlactatemia
Anaphylactic reaction to bacitracin ointment.,bacitracin,Anaphylactic reaction
We report a case of an 11-year-old boy who experienced an anaphylactic reaction after administration of bacitracin ointment.,bacitracin,anaphylactic reaction
"Herein, we present a patient with severe and prolonged hypoglycemia after long-acting octreotide treatment.",octreotide,prolonged hypoglycemia
Hypoglycemia induced by long-acting somatostatin analogues in a patient with nonfunctional neuroendocrine tumor.,somatostatin,Hypoglycemia
"In these patients, long-acting octreotide may trigger serious hypoglycemia.",octreotide,serious hypoglycemia
Leukopenia due to parvovirus B19 in a Crohn's disease patient using azathioprine.,azathioprine,Leukopenia
The uncomplicated long-term use of adequately-dosed AZA and stable non-toxic metabolite levels could not acknowledge TPMT deficiency as a primary cause of the leukopenia.,AZA,leukopenia
We present the case of an adult Crohn's disease patient with a parvovirus B19 infection and leukopenia during long-term AZA therapy.,AZA,leukopenia
Isoniazid causing breast tissue enlargement has been very rarely reported.,Isoniazid,breast tissue enlargement
