"damage_class","narr_cause"
"Substantial","The dislodging of the front crankshaft oil seal for undetermined reasons resulting in loss of engine oil, loss of engine power, and collision with a tree and then the ground during a forced landing."
"Substantial","The pilot's mismanagement of fuel with the positioning of the fuel selector in the off position and his failure to maintain airspeed resulting in fuel starvation, and the airplane entering into a stall."
"Substantial","the pilot's failure to keep a proper visual lookout and ensure proper clearance during taxi operations, which resulted in a collision with vehicles."
"Substantial","The inadvertent collision with birds while on final approach to land resulting in substantial damage to the airplane."
"Substantial","The pilot's improper fuel consumption calculations resulting in a loss of engine power due to fuel exhaustion and collision with trees during a forced landing."
"Substantial","The pilot's improper fuel management and failure switch to the other fuel tank which had fuel available prior to the engine ceasing to operate, which resulted in fuel starvation and damage to the airplane during an off-airport landing."
"Substantial","The pilot's failure to check wind conditions prior to landing resulting in a landing with a tailwind, on a wet runway, and damage to the airplane during a ground loop in an attempt to stop the airplane before over running the runway."
"Substantial","the pilot's failure to properly manage the available fuel in all fuel tanks, which resulted in the loss of engine power due to fuel starvation, a forced landing, and damage to the aircraft when the proper touch down point was not attained."
"Substantial","Fouling of the engine intake and exhaust valves with bromine and lead deposits."
"Destroyed","The incapacitation of the pilot for undetermined reasons which resulted in an in-flight collision with water."
"Substantial","The pilot's failure to maintain directional control of the airplane during landing.  A factor was the crosswind."
"Substantial","the failure of the pilot to maintain adequate visual lookout during taxi."
"Substantial","the failure of the pilot of the other aircraft to maintain adequate visual lookout during taxi."
"Substantial","the failure of the pilot to maintain adequate visual lookout during taxi."
"Substantial","the failure of the pilot of the other aircraft to maintain adequate visual lookout during taxi."
"Destroyed","The failure of the pilot to maintain a safe altitude above terrain and maintain a visual lookout resulting in the helicopter colliding with power transmission lines and crashing into a river. A factor in the accident was the power transmission lines not being marked."
